Pressure (psia),Temp (F),vf (ft3/lbm),vg (ft3/lbm),hf (Btu/lbm),hg (Btu/lbm),sf (Btu/lbmF),sg (Btu/lbmF)
0.0886,32.018,0.01602,3302.4,0,1075.5,0,2.1872
0.1,35.023,0.01602,2945.5,3.03,1076.8,0.0061,2.1766
0.15,45.453,0.01602,2004.7,13.5,1081.4,0.0271,2.1411
0.2,53.16,0.01603,1526.3,21.22,1084.7,0.0422,2.116
0.3,64.484,0.01604,1039.7,32.54,1089.7,0.0641,2.0809
0.4,72.869,0.01606,792.1,40.92,1093.3,0.0799,2.0562
0.5,79.586,0.01607,641.5,47.62,1096.3,0.0925,2.037
0.6,85.218,0.01609,540.1,53.25,1098.7,0.1028,2.0215
0.7,90.09,0.0161,466.94,58.1,1100.8,0.1117,2.0083
0.8,94.38,0.01611,411.69,62.39,1102.6,0.1117,1.997
0.9,98.24,0.01612,368.43,66.24,1104.3,0.1264,1.987
1,101.74,0.01614,333.6,69.73,1105.8,0.1326,1.9781
2,126.07,0.01623,173.76,94.03,1116.2,0.175,1.92
3,141.47,0.0163,118.73,109.4,1122.6,0.2009,1.8864
4,152.96,0.01636,90.63,120.92,1127.3,0.2199,1.8626
5,162.24,0.01641,73.515,130.2,1131.1,0.2349,1.8443
6,170.05,0.01645,61.967,138.03,1134.2,0.2474,1.8294
7,176.84,0.01649,53.65,144.83,1136.9,0.2581,1.8168
8,182.86,0.01653,47.35,150.87,1139.3,0.2676,1.806
9,188.27,0.01656,42.4,156.3,1141.4,0.276,1.7964
10,193.21,0.01659,38.42,161.26,1143.3,0.2836,1.7879
14.696,212,0.01672,26.8,180.17,1150.5,0.3121,1.7568
15,213.03,0.016726,26.29,181.21,1150.9,0.3137,1.7552
20,227.96,0.016834,20.087,196.27,1156.3,0.3358,1.732
30,250.34,0.017009,13.7436,218.9,1164.1,0.3682,1.6995
40,267.25,0.017151,10.4965,236.1,1169.8,0.3921,1.6765
50,281.02,0.017274,8.514,250.2,1174.1,0.4112,1.6586
60,292.71,0.017383,7.1736,262.2,1177.6,0.4273,1.644
70,302.93,0.017482,6.205,272.7,1180.6,0.4411,1.6316
80,312.04,0.17573,5.4711,282.1,1183.1,0.4534,1.6208
90,320.28,0.017659,4.8953,290.7,1185.3,0.4643,1.6113
100,327.82,0.01774,4.431,298.5,1187.2,0.4743,1.6027
110,334.79,0.1782,4.0484,305.8,1188.9,0.4834,1.595
120,341.27,0.1789,3.7275,312.6,1190.4,0.4919,1.5879
130,347.33,0.01796,3.4544,319,1191.7,0.4998,1.5813
140,353.04,0.01803,3.219,325,1193,0.5071,1.5752
150,358.43,0.01809,3.0139,330.6,1194.1,0.5141,1.5695
160,363.55,0.01815,2.8336,336.1,1195.1,0.5206,1.5641
170,368.42,0.01821,2.6738,341.2,1196,0.5269,1.5591
180,373.08,0.01827,2.5312,346.2,1196.9,0.5328,1.5543
190,377.53,0.01833,2.403,350.9,1197.6,0.5384,1.5498
200,381.8,0.01839,2.2873,355.5,1198.3,0.5438,1.5454
210,385.91,0.01844,2.18217,359.9,1199,0.549,1.5413
220,389.88,0.0185,2.08629,364.2,1199.6,0.554,1.5374
230,393.7,0.01855,1.99846,368.3,1200.1,0.5588,1.5336
240,397.39,0.0186,1.91769,372.3,1200.6,0.5634,1.5299
250,400.97,0.01865,1.84317,376.1,1201.1,0.5679,1.5264
260,404.44,0.0187,1.77418,379.9,1201.5,0.5722,1.523
270,407.8,0.01875,1.69137,383.6,1201.9,0.5764,1.5197
280,411.07,0.0188,1.65049,387.1,1202.3,0.5808,1.5166
290,414.25,0.01885,1.59482,390.6,1202.6,0.5844,1.5135
300,417.35,0.01889,1.54274,394,1202.9,0.5882,1.5105
350,431.73,0.01912,1.32554,409.8,1204,0.6059,1.4968
400,444.6,0.01934,1.16095,424.2,1204.6,0.6217,1.4847
450,456.28,0.01954,1.03179,437.3,1204.8,0.636,1.4738
500,467.01,0.01975,0.92762,449.5,1204.7,0.649,1.4639
550,476.94,0.01994,0.84177,460.9,1204.3,0.6611,1.4547
600,486.2,0.02013,0.76975,471.7,1203.7,0.6723,1.4461
650,494.89,0.2032,0.70843,481.9,1202.8,0.6828,1.4381
700,503.08,0.0205,0.65556,491.6,1201.8,0.6928,1.4304
750,510.84,0.02069,0.60949,500.9,1200.7,0.7022,1.4232
800,518.21,0.2087,0.56896,509.8,1199.4,0.7111,1.4163
850,525.24,0.02105,0.53302,518.4,1198,0.7197,1.4096
900,531.95,0.02123,0.50091,526.7,1196.4,0.7279,1.4032
950,538.39,0.02141,0.47205,534.7,1194.7,0.7358,1.397
1000,544.58,0.02159,0.44596,542.6,1192.9,0.7434,1.391
1050,550.53,0.02177,0.42224,550.1,1191,0.7507,1.3851
1100,556.28,0.02195,0.40058,557.5,1189.1,0.7578,1.3794
1150,561.82,0.02214,0.38073,564.8,1187,0.7647,1.3738
1200,567.19,0.02232,0.36245,571.9,1184.8,0.7714,1.3683
1250,572.38,0.0225,0.34556,578.8,1182.6,0.778,1.363
1300,577.42,0.02269,0.32991,585.6,1180.2,0.7843,1.3577
1350,582.32,0.02288,0.31537,592.3,1177.8,0.7906,1.3525
1400,587.07,0.02307,0.30178,598.8,1175.3,0.7966,1.3474
1450,591.7,0.02327,0.28911,605.3,1172.8,0.8026,1.3423
1500,596.2,0.02346,0.27719,611.7,1170.1,0.8085,1.3373
1550,600.59,0.02366,0.26601,618,1167.4,0.8142,1.3324
1600,604.87,0.02387,0.25545,624.2,1164.5,0.8199,1.3274
1650,609.5,0.02407,0.24551,630.4,1161.6,0.8254,1.3225
1700,613.3,0.02428,0.23607,636.5,1158.6,0.8309,1.3176
1750,617.12,0.0245,0.22713,642.5,1155.6,0.8363,1.3128
1800,621.02,0.02472,0.21861,648.5,1152.3,0.8417,1.3079
1850,624.83,0.02495,0.21052,654.5,1149,0.847,1.303
1900,628.56,0.02517,0.20278,660.4,1145.6,0.8522,1.2981
1950,632.22,0.02541,0.1954,666.3,1142,0.8574,1.2931
2000,635.8,0.02565,0.18831,672.1,1138.3,0.8625,1.2881
2100,642.76,0.02615,0.17501,683.8,1130.5,0.8727,1.278
2200,649.45,0.02669,0.16272,695.5,1122.2,0.8828,1.2676
2300,655.89,0.02727,0.15133,707.2,1113.2,0.8929,1.2569
2400,662.11,0.0279,0.14076,719,1103.7,0.9031,1.246
2500,668.11,0.02859,0.13068,731.7,1093.3,0.9139,1.2345
2600,673.91,0.02938,0.1211,744.5,1082,0.9247,1.2225
2700,679.53,0.03029,0.11194,757.3,1069.7,0.9356,1.2097
2800,684.96,0.3134,0.10305,770.7,1055.8,0.9468,1.1958
2900,690.22,0.03262,0.0942,785.1,1039.8,0.9588,1.1803
3000,695.33,0.03428,0.085,801.8,1020.3,0.9728,1.1619
3100,700.28,0.03681,0.07452,824,993.3,0.9914,1.1373
3200,705.08,0.04472,0.05663,875.5,931.6,1.0351,1.0832
3208.2,705.47,0.05078,0.05078,906,906,1.0612,1.0612
