Temp (F),Pressure (psia),vf (ft3/lbm),vg (ft3/lbm),hf (btu/lbm),hg (btu/lbm),sf (btu/lbmF),sg (btu/lbmF)
32.018,0.08865,0.016022,3302.4,0.0003,1075.5,0,2.1872
33,0.09223,0.016021,3180.7,0.989,1075.9,0.002,2.1837
34,0.096,0.016021,3061.9,1.996,1076.4,0.0041,2.1802
35,0.09991,0.01602,2948.1,3.002,1076.8,0.0061,2.1767
36,0.10395,0.01602,2839,4.008,1077.2,0.0081,2.1732
37,0.10815,0.016019,2734.4,5.013,1077.7,0.0101,2.1697
38,0.11249,0.016019,2634.2,6.018,1078.1,0.0122,2.1663
39,0.11698,0.016019,2538,7.023,1078.5,0.0142,2.1629
40,0.12163,0.016019,2445.8,8.027,1079,0.0162,2.1594
41,0.12645,0.016019,2357.3,9.031,1079.4,0.0182,2.156
42,0.13143,0.016019,2272.4,10.035,1079.9,0.0202,2.1527
43,0.13659,0.016019,2191,11.038,1080.3,0.0222,2.1493
44,0.14192,0.016019,2112.8,12.041,1080.7,0.0242,2.1459
45,0.14744,0.01602,2037.8,13.044,1081.2,0.0262,2.1426
46,0.15314,0.01602,1965.7,14.047,1081.6,0.0282,2.1493
47,0.15904,0.016021,1896.5,15.049,1082.1,0.0301,2.146
48,0.16514,0.016021,1830,16.051,1082.5,0.0321,2.1327
49,0.17144,0.016022,1766.2,17.053,1082.9,0.0341,2.1294
50,0.17796,0.016023,1704.8,18.054,1083.4,0.0361,2.1262
51,0.18469,0.016023,1645.9,19.056,1083.8,0.038,2.123
52,0.19165,0.016024,1589.2,20.057,1084.2,0.04,2.1197
53,0.19883,0.016025,1534.8,21.058,1084.7,0.0419,2.1165
54,0.20625,0.016026,1482.4,22.058,1085.1,0.0439,2.1134
55,0.21392,0.016027,1432,23.059,1085.6,0.0458,2.1102
56,0.22183,0.016028,1383.6,24.059,1086,0.0475,2.107
57,0.23,0.016029,1337,25.06,1086.4,0.0497,2.1039
58,0.23843,0.016031,1292.2,26.06,1086.9,0.0516,2.1008
59,0.24713,0.016032,1249.1,27.06,1087.3,0.0536,2.0977
60,0.25611,0.016033,1207.6,28.06,1087.7,0.0555,2.0946
61,0.26538,0.016035,1167.6,29.059,1088.2,0.0574,2.0915
62,0.27494,0.016036,1129.2,30.059,1088.6,0.0593,2.0885
63,0.2848,0.016038,1092.1,31.058,1089,0.0613,2.0854
64,0.29497,0.016039,1056.5,32.058,1089.5,0.0632,2.0824
65,0.30545,0.016041,1022.1,33.057,1089.9,0.0651,2.0794
66,0.31626,0.016043,989.1,34.056,1090.4,0.067,2.0764
67,0.3274,0.016044,957.2,35.055,1090.8,0.0689,2.0734
68,0.33889,0.016046,926.5,36.054,1091.2,0.0708,2.0704
69,0.35073,0.016048,896.9,37.053,1091.7,0.0727,2.0675
70,0.36292,0.01605,868.4,38.052,1092.1,0.0745,2.0645
71,0.37549,0.016052,840.9,39.05,1092.5,0.0764,2.0616
72,0.38844,0.016054,814.3,40.049,1093,0.0783,2.0587
73,0.40177,0.016056,788.8,41.048,1093.4,0.0802,2.0558
74,0.4155,0.016058,764.1,42.046,1093.8,0.0821,2.0529
75,0.42964,0.01606,740.3,43.045,1094.3,0.0839,2.05
76,0.4442,0.016063,717.4,44.043,1094.7,0.0858,2.0472
77,0.45919,0.016065,695.2,45.042,1095.1,0.0877,2.0443
78,0.47461,0.016067,673.9,46.04,1095.6,0.0895,2.0415
79,0.49049,0.01607,653.2,47.038,1096,0.0914,2.0387
80,0.50683,0.016072,633.3,48.037,1096.4,0.0932,2.0359
81,0.52364,0.016074,614.1,49.035,1096.9,0.0951,2.0331
82,0.54093,0.016077,595.6,50.033,1097.3,0.0969,2.0303
83,0.55872,0.016079,577.6,51.031,1097.7,0.0988,2.0275
84,0.57702,0.016082,560.3,52.029,1098.2,0.1006,2.0248
85,0.59583,0.016085,543.6,53.027,1098.6,0.1024,2.0221
86,0.61518,0.016087,527.5,54.026,1099,0.1043,2.0193
87,0.63507,0.01609,511.9,55.024,1099.5,0.1061,2.0166
88,0.65551,0.016093,496.8,56.022,1099.9,0.1079,2.0139
89,0.67653,0.016096,482.2,57.02,1100.3,0.1097,2.0112
90,0.69813,0.016099,468.1,58.018,1100.8,0.1115,2.0086
91,0.72032,0.016102,454.5,59.016,1101.2,0.1134,2.0059
92,0.74313,0.016105,441.3,60.014,1101.6,0.1152,2.0033
93,0.76655,0.016108,428.6,61.012,1102.1,0.117,2.0006
94,0.79062,0.016111,416.3,62.01,1102.5,0.1188,1.998
95,0.81534,0.016114,404.4,63.008,1102.9,0.1206,1.9954
96,0.84072,0.016117,392.9,64.006,1103.3,0.1224,1.9928
97,0.86679,0.01612,381.7,65.005,1103.8,0.1242,1.9902
98,0.89356,0.016123,370.9,66.003,1104.2,0.126,1.9876
99,0.92103,0.016127,360.6,67.001,1104.6,0.1278,1.9851
100,0.94924,0.01613,360.4,67.999,1105.1,0.1295,1.9825
101,0.97818,0.016133,340.6,68.997,1105.5,0.1313,1.98
102,1.00789,0.016137,331.1,69.995,1105.9,0.1331,1.9775
103,1.03838,0.01614,322,70.993,1106.3,0.1349,1.975
104,1.06965,0.016144,313.1,71.992,1106.8,0.1366,1.9725
105,1.10174,0.016148,304.5,72.99,1107.2,0.1384,1.97
110,1.275,0.016165,265.39,77.98,1109.3,0.1472,1.9577
120,1.6927,0.016204,203.26,87.97,1113.6,0.1646,1.9339
130,2.223,0.016247,157.33,97.96,1117.8,0.1817,1.9112
140,2.8892,0.016293,123,107.95,1122,0.1985,1.8895
150,3.7184,0.016343,97.07,117.95,1126.1,0.215,1.8686
160,4.7414,0.016395,77.29,127.96,1130.2,0.2313,1.8487
170,5.9926,0.016451,62.06,137.97,1134.2,0.2473,1.8295
180,7.511,0.01651,50.22,148,1138.2,0.2631,1.8111
190,9.34,0.016572,40.957,158.04,1142.1,0.2787,1.7934
200,11.526,0.016637,33.639,168.09,1146,0.294,1.7764
220,17.186,0.016775,23.148,188.23,1153.4,0.3241,1.7442
240,24.968,0.016926,16.321,208.45,1160.6,0.3533,1.7142
260,35.427,0.017089,11.762,228.76,1167.4,0.3819,1.6862
280,49.2,0.017264,8.644,249.17,1173.8,0.4098,1.6599
300,67.005,0.01745,6.4658,269.7,1179.7,0.4372,1.6351
320,89.643,0.01766,4.9138,290.4,1185.2,0.464,1.6116
340,117.992,0.01787,3.7878,311.3,1190.1,0.4902,1.5892
360,153.01,0.01811,2.9573,332.3,1194.4,0.5161,1.5678
380,195.729,0.01836,2.3353,353.6,1198,0.5416,1.5473
400,247.259,0.01864,1.863,375.1,1201,0.5667,1.5274
420,308.78,0.01894,1.4997,396.9,1203.1,0.5915,1.508
440,381.54,0.01926,1.21687,419,1204.4,0.6161,1.489
460,466.87,0.01961,0.99424,441.5,1204.8,0.6405,1.4704
480,566.15,0.02,0.81717,464.5,1204.1,0.6648,1.4518
500,680.86,0.02043,0.67492,487.5,1202.2,0.689,1.433
520,812.53,0.02091,0.55956,512,1199,0.7133,1.4146
540,962.79,0.02146,0.46513,536.8,1194.3,0.7378,1.3954
560,1133.38,0.02207,0.38714,562.4,1187.7,0.7625,1.3757
580,1326.17,0.02279,0.32216,589.1,1179,0.7876,1.355
600,1543.2,0.02364,0.26747,617.1,1167.7,0.8134,1.333
620,1786.9,0.02466,0.22081,646.9,1153.2,0.8403,1.3092
640,2059.9,0.02595,0.18021,679.1,1133.7,0.8686,1.2821
660,2365.7,0.02768,0.14431,714.9,1107,0.8995,1.2498
680,2708.6,0.03037,0.11117,758.5,1068.5,0.9365,1.2086
700,3094.3,0.03662,0.07519,822.4,995.2,0.9901,1.139
