bar \\ degC,100,150,200,250,300,400,500,600,700,800
0.1,17.196,19.51,21.825,24.136,26.445,31.063,35.679,40.295,44.911,49.526
0.5,3.418,3.889,4.356,4.82,5.284,6.209,7.134,8.057,8.981,9.904
1,1.6958,1.9364,2.172,2.406,2.639,3.103,3.565,4.028,4.49,4.952
2,-1,0.9596,1.0803,1.1988,1.3162,1.5493,1.7814,2.013,2.244,2.475
3,-1,0.6339,0.7163,0.7964,0.8753,1.0315,1.1867,1.3414,1.4957,1.6499
4,-1,0.4708,0.5342,0.5951,0.6548,0.7726,0.8893,1.0552,1.1215,1.2372
5,-1,-1,0.4249,0.4744,0.5226,0.6173,0.7109,0.8041,0.8969,0.9896
6,-1,-1,0.352,0.3938,0.4344,0.5137,0.592,0.6697,0.7472,0.8245
10,-1,-1,0.206,0.2327,0.2579,0.3066,0.3541,0.4011,0.4478,0.4923
20,-1,-1,-1,0.1114,0.1255,0.1512,0.1757,0.1996,0.2232,0.2467
30,-1,-1,-1,0.0758,0.08114,0.0994,0.1162,0.1324,0.1484,0.1641
40,-1,-1,-1,-1,0.0588,0.0734,0.0864,0.09885,0.11095,0.12287
50,-1,-1,-1,-1,0.0453,0.0578,0.06857,0.07869,0.08849,0.0981
60,-1,-1,-1,-1,0.0362,0.0474,0.0567,0.0653,0.0735,0.0816
70,-1,-1,-1,-1,0.0295,0.0393,0.0481,0.0557,0.0628,0.0698
80,-1,-1,-1,-1,0.0243,0.0343,0.0418,0.0486,0.0548,0.061
90,-1,-1,-1,-1,-1,0.0299,0.0368,0.0429,0.0486,0.0541
100,-1,-1,-1,-1,-1,0.0264,0.0328,0.384,0.0436,0.0486
150,-1,-1,-1,-1,-1,0.0157,0.0208,0.0249,0.0286,0.0321
200,-1,-1,-1,-1,-1,0.0099,0.0148,0.0182,0.0211,0.0239
250,-1,-1,-1,-1,-1,0.006,0.0111,0.0141,0.0167,0.0189
300,-1,-1,-1,-1,-1,0.0028,0.0087,0.0115,0.0137,0.0156
350,-1,-1,-1,-1,-1,0.0021,0.0069,0.0095,0.0115,0.0313
400,-1,-1,-1,-1,-1,0.0019,0.0056,0.0081,0.0099,0.0115
500,-1,-1,-1,-1,-1,0.00173,0.0039,0.0061,0.0077,0.0091
