Pressure (psia),sg (Btu/lbm-F),s (Btu/lbm-F)
1,1.9781,2.0509
5,1.8443,1.8716
10,1.7879,1.7928
15,1.7552,1.8134
20,1.732,1.7805
40,1.6765,1.6992
60,1.644,1.6492
80,1.6208,1.679
100,1.6027,1.6516
120,1.5879,1.6286
140,1.5752,1.6085
160,1.5641,1.5906
180,1.5543,1.5743
200,1.5454,1.5593
250,1.5264,1.5951
300,1.5105,1.5703
350,1.4968,1.5483
400,1.4847,1.5282
500,1.4639,1.4921
600,1.4461,1.459
700,1.4304,1.509
800,1.4163,1.4869
900,1.4032,1.4659
1000,1.391,1.4457
1100,1.3794,1.4259
1200,1.3683,1.4061
1400,1.3474,1.3652
1600,1.3274,1.4312
1800,1.3079,1.4054
2000,1.2881,1.3794
2500,1.2345,1.3076
3000,1.1619,1.1966
3200,1.0832,1.3515
