Pressure (psia),Tsat (degF),T (degF)
1,101.74,200
5,162.24,200
10,193.21,200
15,213.03,300
20,227.96,300
40,267.25,300
60,292.71,300
80,312.04,400
100,327.82,400
120,341.27,400
140,353.04,400
160,363.55,400
180,373.08,400
200,381.8,400
250,400.97,500
300,417.35,500
350,431.73,500
400,444.6,500
500,467.01,500
600,486.2,500
700,503.08,600
800,518.21,600
900,531.95,600
1000,544.58,600
1100,556.28,600
1200,567.19,600
1400,587.07,600
1600,604.87,700
1800,621.02,700
2000,635.8,700
2500,668.11,700
3000,695.33,700
3200,705.08,800
